NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNG12	GNG12	793	0.12078610807657242	0.025194697	No	
row_1	CCL2	CCL2	1756	0.06886544823646545	0.013266184	No	
row_2	RAC1	RAC1	1763	0.0687345340847969	0.050564725	No	
row_3	GNB3	GNB3	1816	0.06688755750656128	0.08448058	No	
row_4	GNB4	GNB4	2635	0.04745684936642647	0.06826415	No	
row_5	GNG5	GNG5	4555	0.023581793531775475	-0.017791463	No	
row_6	GNB1	GNB1	5740	0.01479949802160263	-0.07075006	No	
row_7	GNB5	GNB5	6247	0.011847445741295815	-0.09036099	No	
row_8	CCR4	CCR4	7743	0.005176779348403215	-0.16462217	No	
row_9	GNG10	GNG10	9165	2.201038114435505E-5	-0.23788777	No	
row_10	CCR8	CCR8	9448	-8.909395546652377E-4	-0.25194237	No	
row_11	GNG13	GNG13	10891	-0.0060507869347929955	-0.32299227	No	
row_12	GNG3	GNG3	11768	-0.009474804624915123	-0.3629814	No	
row_13	CCL1	CCL1	11986	-0.010422002524137497	-0.36846924	No	
row_14	CCL4	CCL4	12125	-0.011066826991736889	-0.36953038	No	
row_15	CCR3	CCR3	14367	-0.024895116686820984	-0.47147217	No	
row_16	GNG2	GNG2	15148	-0.03184837847948074	-0.4942692	Yes	
row_17	PREX1	PREX1	15395	-0.03424116596579552	-0.48821986	Yes	
row_18	GNG7	GNG7	15401	-0.03427128866314888	-0.46972623	Yes	
row_19	PIK3CG	PIK3CG	15967	-0.04023691639304161	-0.47684643	Yes	
row_20	GNGT2	GNGT2	16066	-0.04157278686761856	-0.4591536	Yes	
row_21	PIK3R6	PIK3R6	16253	-0.04425359144806862	-0.44453192	Yes	
row_22	GNG11	GNG11	16894	-0.05372556298971176	-0.4481394	Yes	
row_23	PIK3R5	PIK3R5	17328	-0.061477042734622955	-0.43683118	Yes	
row_24	GNG4	GNG4	17417	-0.062862329185009	-0.40697414	Yes	
row_25	GNG8	GNG8	17917	-0.07536310702562332	-0.39147165	Yes	
row_26	GNB2	GNB2	18154	-0.08263842016458511	-0.35842618	Yes	
row_27	CCL3	CCL3	18495	-0.0974978432059288	-0.32261348	Yes	
row_28	GNGT1	GNGT1	19250	-0.17668108642101288	-0.2648248	Yes	
row_29	CXCL8	CXCL8	19312	-0.19557341933250427	-0.1609629	Yes	
row_30	CXCR2	CXCR2	19419	-0.3044584393501282	1.5470012E-4	Yes	
