NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNG12	GNG12	793	0.12078610807657242	0.034660876	No	
row_1	GNB3	GNB3	1816	0.06688755750656128	0.02380438	No	
row_2	GNB4	GNB4	2635	0.04745684936642647	0.011312593	No	
row_3	MAPK3	MAPK3	2807	0.04426105320453644	0.03017939	No	
row_4	NRAS	NRAS	2936	0.042138583958148956	0.049935643	No	
row_5	MAP2K1	MAP2K1	3064	0.04010618105530739	0.06847229	No	
row_6	HRAS	HRAS	3892	0.029999909922480583	0.044598054	No	
row_7	GNG5	GNG5	4555	0.023581793531775475	0.025216524	No	
row_8	GNB1	GNB1	5740	0.01479949802160263	-0.026570652	No	
row_9	GNB5	GNB5	6247	0.011847445741295815	-0.045248527	No	
row_10	GNG10	GNG10	9165	2.201038114435505E-5	-0.19562659	No	
row_11	MAPK1	MAPK1	9936	-0.0025752282235771418	-0.23371482	No	
row_12	GNG13	GNG13	10891	-0.0060507869347929955	-0.27911577	No	
row_13	GNG3	GNG3	11768	-0.009474804624915123	-0.3183537	No	
row_14	KRAS	KRAS	11903	-0.010069016367197037	-0.3189647	No	
row_15	RAF1	RAF1	12676	-0.013844219036400318	-0.35010785	No	
row_16	GNG2	GNG2	15148	-0.03184837847948074	-0.4575857	No	
row_17	GNG7	GNG7	15401	-0.03427128866314888	-0.4491431	No	
row_18	GNGT2	GNGT2	16066	-0.04157278686761856	-0.4573753	No	
row_19	GNG11	GNG11	16894	-0.05372556298971176	-0.46641034	Yes	
row_20	MAP2K2	MAP2K2	17016	-0.05595473572611809	-0.43765187	Yes	
row_21	GNG4	GNG4	17417	-0.062862329185009	-0.4189575	Yes	
row_22	GNG8	GNG8	17917	-0.07536310702562332	-0.39754865	Yes	
row_23	GNB2	GNB2	18154	-0.08263842016458511	-0.35802996	Yes	
row_24	GNGT1	GNGT1	19250	-0.17668108642101288	-0.3039798	Yes	
row_25	CXCL8	CXCL8	19312	-0.19557341933250427	-0.18480352	Yes	
row_26	CXCR2	CXCR2	19419	-0.3044584393501282	1.5477718E-4	Yes	
