NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNG12	GNG12	793	0.12078610807657242	0.032289974	No	
row_1	AKT3	AKT3	1692	0.07090621441602707	0.02894935	No	
row_2	GNB3	GNB3	1816	0.06688755750656128	0.063128844	No	
row_3	GNB4	GNB4	2635	0.04745684936642647	0.049706876	No	
row_4	AKT1	AKT1	4156	0.027443774044513702	-0.012030238	No	
row_5	GNG5	GNG5	4555	0.023581793531775475	-0.018262954	No	
row_6	GNB1	GNB1	5740	0.01479949802160263	-0.07033774	No	
row_7	GNB5	GNB5	6247	0.011847445741295815	-0.08924703	No	
row_8	GNG10	GNG10	9165	2.201038114435505E-5	-0.23961778	No	
row_9	GNG13	GNG13	10891	-0.0060507869347929955	-0.3248835	No	
row_10	GNG3	GNG3	11768	-0.009474804624915123	-0.36430523	No	
row_11	AKT2	AKT2	13952	-0.02179446816444397	-0.46364525	No	
row_12	MTOR	MTOR	14343	-0.02468794956803322	-0.46879542	No	
row_13	GNG2	GNG2	15148	-0.03184837847948074	-0.4909513	Yes	
row_14	GNG7	GNG7	15401	-0.03427128866314888	-0.48318136	Yes	
row_15	PIK3CG	PIK3CG	15967	-0.04023691639304161	-0.48793393	Yes	
row_16	GNGT2	GNGT2	16066	-0.04157278686761856	-0.46780133	Yes	
row_17	PIK3R6	PIK3R6	16253	-0.04425359144806862	-0.4505815	Yes	
row_18	GNG11	GNG11	16894	-0.05372556298971176	-0.45102918	Yes	
row_19	PIK3R5	PIK3R5	17328	-0.061477042734622955	-0.43610924	Yes	
row_20	GNG4	GNG4	17417	-0.062862329185009	-0.40256384	Yes	
row_21	GNG8	GNG8	17917	-0.07536310702562332	-0.38263425	Yes	
row_22	GNB2	GNB2	18154	-0.08263842016458511	-0.34473848	Yes	
row_23	GNGT1	GNGT1	19250	-0.17668108642101288	-0.29415658	Yes	
row_24	CXCL8	CXCL8	19312	-0.19557341933250427	-0.17882244	Yes	
row_25	CXCR2	CXCR2	19419	-0.3044584393501282	1.5462685E-4	Yes	
