NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LRR1	LRR1	2932	0.042216137051582336	-0.09174502	No	
row_1	PIF1	PIF1	4267	0.026446513831615448	-0.12331004	No	
row_2	MCM7	MCM7	5697	0.015086987055838108	-0.17574063	No	
row_3	MCM3	MCM3	6606	0.010054330341517925	-0.20839769	No	
row_4	CUL2	CUL2	6842	0.008938736282289028	-0.20794134	No	
row_5	GINS1	GINS1	12101	-0.010932370088994503	-0.463533	No	
row_6	MCM4	MCM4	13441	-0.01831229403614998	-0.5067913	Yes	
row_7	MCM6	MCM6	13903	-0.021519385278224945	-0.50029474	Yes	
row_8	RBX1	RBX1	14193	-0.02349758706986904	-0.48215348	Yes	
row_9	VCP	VCP	14876	-0.029011165723204613	-0.47651336	Yes	
row_10	MCM5	MCM5	15397	-0.03425155580043793	-0.45515764	Yes	
row_11	UBB	UBB	15472	-0.03499079868197441	-0.40977883	Yes	
row_12	NPLOC4	NPLOC4	16346	-0.0455060712993145	-0.390792	Yes	
row_13	GINS3	GINS3	16414	-0.04654357582330704	-0.32881087	Yes	
row_14	MCM2	MCM2	17042	-0.05624916031956673	-0.28204358	Yes	
row_15	GINS4	GINS4	17494	-0.0644831582903862	-0.2146306	Yes	
row_16	GINS2	GINS2	17627	-0.067591592669487	-0.12640852	Yes	
row_17	CDC45	CDC45	19168	-0.155676007270813	0.013089462	Yes	
