NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGF1	IGF1	23	0.3752152621746063	0.078336336	Yes	
row_1	VEGFC	VEGFC	158	0.24637958407402039	0.123627625	Yes	
row_2	ANGPT1	ANGPT1	230	0.21385039389133453	0.16528164	Yes	
row_3	FGF7	FGF7	255	0.20480063557624817	0.20744753	Yes	
row_4	PGF	PGF	378	0.17396192252635956	0.23801059	Yes	
row_5	EFNA1	EFNA1	716	0.12756139039993286	0.24762352	Yes	
row_6	IGF2	IGF2	740	0.12610171735286713	0.27316117	Yes	
row_7	PDGFC	PDGFC	766	0.12327704578638077	0.29799676	Yes	
row_8	PDGFD	PDGFD	846	0.11566311120986938	0.31842673	Yes	
row_9	NGF	NGF	871	0.11362192034721375	0.34126765	Yes	
row_10	FGF1	FGF1	931	0.10936935991048813	0.3613977	Yes	
row_11	NTF3	NTF3	1199	0.09177862107753754	0.36704567	Yes	
row_12	FLT3	FLT3	1285	0.08741625398397446	0.38117865	Yes	
row_13	PIK3CA	PIK3CA	1303	0.08630989491939545	0.39859277	Yes	
row_14	ERBB2	ERBB2	1555	0.07636778056621552	0.4018017	Yes	
row_15	AKT3	AKT3	1692	0.07090621441602707	0.40979868	Yes	
row_16	FGFR1	FGFR1	1736	0.06965915113687515	0.42233953	Yes	
row_17	ANGPT2	ANGPT2	2107	0.0592217780649662	0.415762	Yes	
row_18	PDGFA	PDGFA	2123	0.05879448726773262	0.42744777	Yes	
row_19	NTRK2	NTRK2	2132	0.05853967368602753	0.4394414	Yes	
row_20	PDGFRA	PDGFRA	2240	0.055828291922807693	0.445742	Yes	
row_21	PIK3CB	PIK3CB	2615	0.04782680422067642	0.43654254	No	
row_22	MET	MET	3084	0.03986883535981178	0.42079654	No	
row_23	ERBB3	ERBB3	3108	0.039615679532289505	0.42800382	No	
row_24	TEK	TEK	3235	0.038178250193595886	0.42958122	No	
row_25	FLT1	FLT1	3341	0.036765143275260925	0.43194488	No	
row_26	KITLG	KITLG	3493	0.034867238253355026	0.431528	No	
row_27	PDGFRB	PDGFRB	3869	0.030217956751585007	0.4185447	No	
row_28	AKT1	AKT1	4156	0.027443774044513702	0.40957484	No	
row_29	FGF4	FGF4	4257	0.026528915390372276	0.41002744	No	
row_30	EFNA4	EFNA4	4563	0.023530520498752594	0.39924586	No	
