NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGF1	IGF1	23	0.3752152621746063	0.07885658	Yes	
row_1	VEGFC	VEGFC	158	0.24637958407402039	0.124486625	Yes	
row_2	ANGPT1	ANGPT1	230	0.21385039389133453	0.16643576	Yes	
row_3	FGF7	FGF7	255	0.20480063557624817	0.20888534	Yes	
row_4	PGF	PGF	378	0.17396192252635956	0.23968692	Yes	
row_5	EFNA1	EFNA1	716	0.12756139039993286	0.24946879	Yes	
row_6	IGF2	IGF2	740	0.12610171735286713	0.27518094	Yes	
row_7	PDGFC	PDGFC	766	0.12327704578638077	0.30018702	Yes	
row_8	PDGFD	PDGFD	846	0.11566311120986938	0.32077563	Yes	
row_9	NGF	NGF	871	0.11362192034721375	0.3437737	Yes	
row_10	FGF1	FGF1	931	0.10936935991048813	0.36405414	Yes	
row_11	NTF3	NTF3	1199	0.09177862107753754	0.36982307	Yes	
row_12	FLT3	FLT3	1285	0.08741625398397446	0.3840753	Yes	
row_13	ERBB2	ERBB2	1555	0.07636778056621552	0.38645315	Yes	
row_14	FGFR1	FGFR1	1736	0.06965915113687515	0.39200333	Yes	
row_15	ANGPT2	ANGPT2	2107	0.0592217780649662	0.3854991	Yes	
row_16	PDGFA	PDGFA	2123	0.05879448726773262	0.3972661	Yes	
row_17	NTRK2	NTRK2	2132	0.05853967368602753	0.4093408	Yes	
row_18	PDGFRA	PDGFRA	2240	0.055828291922807693	0.41571632	Yes	
row_19	MAPK3	MAPK3	2807	0.04426105320453644	0.39588234	Yes	
row_20	NRAS	NRAS	2936	0.042138583958148956	0.39825115	Yes	
row_21	MAP2K1	MAP2K1	3064	0.04010618105530739	0.4002381	Yes	
row_22	MET	MET	3084	0.03986883535981178	0.4077607	Yes	
row_23	ERBB3	ERBB3	3108	0.039615679532289505	0.4150224	Yes	
row_24	TEK	TEK	3235	0.038178250193595886	0.4166498	Yes	
row_25	FLT1	FLT1	3341	0.036765143275260925	0.4190619	Yes	
row_26	KITLG	KITLG	3493	0.034867238253355026	0.41868982	No	
row_27	PDGFRB	PDGFRB	3869	0.030217956751585007	0.40573946	No	
row_28	HRAS	HRAS	3892	0.029999909922480583	0.4110015	No	
row_29	FGF4	FGF4	4257	0.026528915390372276	0.3978331	No	
row_30	EFNA4	EFNA4	4563	0.023530520498752594	0.38707685	No	
row_31	NGFR	NGFR	4669	0.022385714575648308	0.38642135	No	
row_32	BDNF	BDNF	4942	0.02021145075559616	0.37666395	No	
row_33	ANGPT4	ANGPT4	5113	0.018898531794548035	0.3719024	No	
row_34	FGFR4	FGFR4	5323	0.017300022765994072	0.36478254	No	
row_35	VEGFB	VEGFB	5459	0.016441740095615387	0.36130726	No	
row_36	FGF22	FGF22	5772	0.014589069411158562	0.34828138	No	
row_37	CSF1R	CSF1R	6157	0.012310895137488842	0.33104533	No	
row_38	EREG	EREG	6370	0.011219841428101063	0.3224732	No	
row_39	AREG	AREG	6414	0.010986006818711758	0.3225927	No	
row_40	FGF3	FGF3	6739	0.009408635087311268	0.30784097	No	
row_41	FLT3LG	FLT3LG	7391	0.0065020290203392506	0.27555507	No	
row_42	EGF	EGF	7551	0.005902470089495182	0.26859	No	
row_43	GRB2	GRB2	7750	0.005162140354514122	0.25944972	No	
row_44	EFNA2	EFNA2	7751	0.005155405029654503	0.26054955	No	
row_45	KIT	KIT	7752	0.005153606180101633	0.26164898	No	
row_46	FGF8	FGF8	7776	0.005061458796262741	0.26153907	No	
row_47	FLT4	FLT4	8325	0.003086119657382369	0.23385215	No	
row_48	NRTN	NRTN	8897	9.185932576656342E-4	0.20451312	No	
row_49	FGF21	FGF21	9056	3.5558678791858256E-4	0.19641642	No	
row_50	MAPK1	MAPK1	9936	-0.0025752282235771418	0.15149951	No	
row_51	BRAF	BRAF	9945	-0.002610243624076247	0.15164256	No	
row_52	ARTN	ARTN	10118	-0.003208449110388756	0.14343032	No	
row_53	PSPN	PSPN	10175	-0.003460763255134225	0.14127202	No	
row_54	FGFR3	FGFR3	10184	-0.0034897702280431986	0.14160271	No	
row_55	FGF2	FGF2	10517	-0.004662086721509695	0.12542458	No	
row_56	HGF	HGF	10661	-0.005243753548711538	0.11914658	No	
row_57	FGF20	FGF20	10900	-0.006085528060793877	0.10813427	No	
row_58	FGF6	FGF6	11238	-0.0073691136203706264	0.092275016	No	
row_59	FGF16	FGF16	11255	-0.007426515221595764	0.09303175	No	
row_60	GDNF	GDNF	11608	-0.008882100693881512	0.076719396	No	
row_61	KRAS	KRAS	11903	-0.010069016367197037	0.0636603	No	
row_62	FGF19	FGF19	11955	-0.010284879244863987	0.06321644	No	
row_63	FGF9	FGF9	12594	-0.013402274809777737	0.033075035	No	
row_64	RAF1	RAF1	12676	-0.013844219036400318	0.031838752	No	
row_65	EFNA3	EFNA3	13325	-0.017588675022125244	0.0020732004	No	
row_66	CSF1	CSF1	13404	-0.01804005540907383	0.0018872094	No	
row_67	SOS1	SOS1	13839	-0.021026911213994026	-0.016075693	No	
row_68	FGF17	FGF17	14033	-0.022295484319329262	-0.021302234	No	
row_69	FGF23	FGF23	14158	-0.0232036504894495	-0.022766005	No	
row_70	FGF5	FGF5	14223	-0.02370164915919304	-0.021020034	No	
row_71	ARAF	ARAF	14350	-0.024764908477663994	-0.022254186	No	
row_72	PDGFB	PDGFB	14570	-0.02647826075553894	-0.02793325	No	
row_73	INS	INS	15656	-0.03681991621851921	-0.076199956	No	
row_74	EFNA5	EFNA5	15931	-0.039847515523433685	-0.08187178	No	
row_75	NTF4	NTF4	16391	-0.046142566949129105	-0.09576978	No	
row_76	TGFA	TGFA	16413	-0.046536918729543686	-0.086928084	No	
row_77	FGF18	FGF18	16566	-0.04854422062635422	-0.084434144	No	
row_78	MAP2K2	MAP2K2	17016	-0.05595473572611809	-0.095721625	No	
row_79	SOS2	SOS2	17176	-0.05882308632135391	-0.09139693	No	
row_80	EGFR	EGFR	17207	-0.05936955660581589	-0.08028312	No	
row_81	FGF10	FGF10	17335	-0.061617426574230194	-0.07370709	No	
row_82	ERBB4	ERBB4	17527	-0.06543946266174316	-0.06962609	No	
row_83	EPHA2	EPHA2	18085	-0.08075501769781113	-0.08120913	No	
row_84	RET	RET	18092	-0.08089201897382736	-0.06426244	No	
row_85	VEGFA	VEGFA	18170	-0.08309687674045563	-0.05051786	No	
row_86	INSR	INSR	18619	-0.10464227944612503	-0.051366895	No	
row_87	NTRK1	NTRK1	18905	-0.12538042664527893	-0.03936059	No	
row_88	KDR	KDR	19073	-0.14381228387355804	-0.017318588	No	
row_89	IGF1R	IGF1R	19215	-0.16555649042129517	0.010707049	No	
