NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGF1	IGF1	23	0.3752152621746063	0.075613916	Yes	
row_1	VEGFC	VEGFC	158	0.24637958407402039	0.119115666	Yes	
row_2	ANGPT1	ANGPT1	230	0.21385039389133453	0.15921713	Yes	
row_3	FGF7	FGF7	255	0.20480063557624817	0.1998969	Yes	
row_4	PGF	PGF	378	0.17396192252635956	0.22919597	Yes	
row_5	EFNA1	EFNA1	716	0.12756139039993286	0.23787808	Yes	
row_6	IGF2	IGF2	740	0.12610171735286713	0.26250055	Yes	
row_7	PDGFC	PDGFC	766	0.12327704578638077	0.28644142	Yes	
row_8	PDGFD	PDGFD	846	0.11566311120986938	0.30603102	Yes	
row_9	NGF	NGF	871	0.11362192034721375	0.32804728	Yes	
row_10	FGF1	FGF1	931	0.10936935991048813	0.34738296	Yes	
row_11	NTF3	NTF3	1199	0.09177862107753754	0.35236084	Yes	
row_12	FLT3	FLT3	1285	0.08741625398397446	0.36585826	Yes	
row_13	PIK3CA	PIK3CA	1303	0.08630989491939545	0.38264596	Yes	
row_14	ERBB2	ERBB2	1555	0.07636778056621552	0.38529685	Yes	
row_15	AKT3	AKT3	1692	0.07090621441602707	0.39277723	Yes	
row_16	FGFR1	FGFR1	1736	0.06965915113687515	0.40481207	Yes	
row_17	ANGPT2	ANGPT2	2107	0.0592217780649662	0.39779896	Yes	
row_18	PDGFA	PDGFA	2123	0.05879448726773262	0.40905795	Yes	
row_19	NTRK2	NTRK2	2132	0.05853967368602753	0.4206268	Yes	
row_20	PDGFRA	PDGFRA	2240	0.055828291922807693	0.42652065	Yes	
row_21	PIK3CB	PIK3CB	2615	0.04782680422067642	0.41696826	No	
row_22	NRAS	NRAS	2936	0.042138583958148956	0.4090442	No	
row_23	MET	MET	3084	0.03986883535981178	0.40960264	No	
row_24	ERBB3	ERBB3	3108	0.039615679532289505	0.41652215	No	
row_25	TEK	TEK	3235	0.038178250193595886	0.41782057	No	
row_26	FLT1	FLT1	3341	0.036765143275260925	0.4199158	No	
row_27	KITLG	KITLG	3493	0.034867238253355026	0.41924354	No	
row_28	PDGFRB	PDGFRB	3869	0.030217956751585007	0.40603504	No	
row_29	HRAS	HRAS	3892	0.029999909922480583	0.41103798	No	
row_30	AKT1	AKT1	4156	0.027443774044513702	0.40305394	No	
row_31	FGF4	FGF4	4257	0.026528915390372276	0.40331247	No	
row_32	EFNA4	EFNA4	4563	0.023530520498752594	0.3923553	No	
row_33	NGFR	NGFR	4669	0.022385714575648308	0.39150718	No	
row_34	PIK3R2	PIK3R2	4860	0.020831501111388206	0.38594496	No	
row_35	BDNF	BDNF	4942	0.02021145075559616	0.38589302	No	
row_36	ANGPT4	ANGPT4	5113	0.018898531794548035	0.3809695	No	
row_37	FGFR4	FGFR4	5323	0.017300022765994072	0.3737018	No	
row_38	VEGFB	VEGFB	5459	0.016441740095615387	0.3700855	No	
row_39	FGF22	FGF22	5772	0.014589069411158562	0.35693607	No	
row_40	CSF1R	CSF1R	6157	0.012310895137488842	0.33959666	No	
row_41	EREG	EREG	6370	0.011219841428101063	0.33092925	No	
row_42	AREG	AREG	6414	0.010986006818711758	0.33095416	No	
row_43	FGF3	FGF3	6739	0.009408635087311268	0.31612372	No	
row_44	FLT3LG	FLT3LG	7391	0.0065020290203392506	0.28378686	No	
