NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTGER3	PTGER3	155	0.2473345845937729	0.10027414	Yes	
row_1	OXTR	OXTR	274	0.19938723742961884	0.18146835	Yes	
row_2	ITPR1	ITPR1	488	0.15397684276103973	0.23787999	Yes	
row_3	ADRA1B	ADRA1B	616	0.1374136507511139	0.29147977	Yes	
row_4	GNA14	GNA14	649	0.1331321746110916	0.34810874	Yes	
row_5	AVPR1A	AVPR1A	989	0.10545454174280167	0.3767754	Yes	
row_6	EDNRA	EDNRA	1334	0.08504858613014221	0.39625102	Yes	
row_7	GNAQ	GNAQ	1490	0.07923121005296707	0.42293528	Yes	
row_8	PLCB4	PLCB4	2028	0.060950666666030884	0.42189983	Yes	
row_9	HRH1	HRH1	2137	0.05842535197734833	0.44190195	Yes	
row_10	GRM5	GRM5	2394	0.052067823708057404	0.45148188	Yes	
row_11	PTGER1	PTGER1	2550	0.048948172479867935	0.4649093	Yes	
row_12	BDKRB1	BDKRB1	2743	0.045466192066669464	0.47490263	Yes	
row_13	ITPR3	ITPR3	3850	0.030453233048319817	0.4311472	No	
row_14	TACR2	TACR2	4630	0.022722875699400902	0.40088594	No	
row_15	ITPR2	ITPR2	5277	0.01765015348792076	0.3752689	No	
row_16	LHCGR	LHCGR	5328	0.01724979281425476	0.3802395	No	
row_17	HTR2A	HTR2A	5916	0.013728847727179527	0.3559512	No	
row_18	PLCB1	PLCB1	6393	0.011080888099968433	0.336233	No	
row_19	CCKBR	CCKBR	6650	0.009808110073208809	0.32731307	No	
row_20	NTSR1	NTSR1	6685	0.009655703790485859	0.32978508	No	
row_21	HTR2C	HTR2C	7095	0.0078021022491157055	0.3120898	No	
row_22	AVPR1B	AVPR1B	7304	0.006839417852461338	0.3043478	No	
row_23	CCKAR	CCKAR	7392	0.00650030467659235	0.30270287	No	
row_24	TRHR	TRHR	7733	0.005209455732256174	0.2874341	No	
row_25	LTB4R2	LTB4R2	9142	8.803702075965703E-5	0.21479791	No	
row_26	GRPR	GRPR	9250	-2.426922437734902E-4	0.2093813	No	
row_27	CHRM3	CHRM3	9635	-0.00154559884686023	0.19023752	No	
row_28	EDNRB	EDNRB	10190	-0.003499977057799697	0.16317467	No	
row_29	TACR1	TACR1	10283	-0.0038506987038999796	0.16011174	No	
row_30	CHRM1	CHRM1	10499	-0.004604068119078875	0.1510299	No	
row_31	CHRM2	CHRM2	10558	-0.00485644955188036	0.15016218	No	
row_32	GNA11	GNA11	10638	-0.005187671631574631	0.14835554	No	
row_33	GNA15	GNA15	11108	-0.00688780564814806	0.12716308	No	
row_34	AGTR1	AGTR1	11655	-0.009033504873514175	0.10293554	No	
row_35	ADRA1A	ADRA1A	11984	-0.010419324040412903	0.09056685	No	
row_36	BDKRB2	BDKRB2	12009	-0.010510978288948536	0.093929425	No	
row_37	PLCB3	PLCB3	12090	-0.010901431553065777	0.09457245	No	
row_38	F2R	F2R	12327	-0.011937394738197327	0.08761695	No	
row_39	ADRA1D	ADRA1D	12376	-0.012308521196246147	0.09052765	No	
row_40	CYSLTR2	CYSLTR2	12427	-0.012539033778011799	0.09343603	No	
row_41	PTGFR	PTGFR	12641	-0.01364115346223116	0.08841354	No	
row_42	TACR3	TACR3	14897	-0.02914980985224247	-0.015218782	No	
row_43	CYSLTR1	CYSLTR1	16261	-0.044355105608701706	-0.06615367	No	
row_44	CXCR4	CXCR4	16879	-0.05339078977704048	-0.074627824	No	
row_45	TBXA2R	TBXA2R	17446	-0.06343065202236176	-0.07607448	No	
row_46	HTR2B	HTR2B	18721	-0.11106321215629578	-0.093213074	No	
row_47	PTAFR	PTAFR	19010	-0.13627639412879944	-0.048421253	No	
row_48	PLCB2	PLCB2	19183	-0.1590699553489685	0.01233621	No	
