NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIGT	PIGT	1720	0.07005985081195831	-0.014903738	No	
row_1	PGAP1	PGAP1	2275	0.05492471158504486	0.014361982	No	
row_2	PIGC	PIGC	3563	0.03398288041353226	-0.01620248	No	
row_3	PIGW	PIGW	4419	0.024764612317085266	-0.034203503	No	
row_4	MPPE1	MPPE1	5700	0.015070161782205105	-0.084317654	No	
row_5	PIGV	PIGV	5996	0.013185350224375725	-0.08564286	No	
row_6	GPAA1	GPAA1	6033	0.012908432632684708	-0.073909074	No	
row_7	PIGK	PIGK	7790	0.005001592915505171	-0.15915908	No	
row_8	PIGA	PIGA	8478	0.0024601018521934748	-0.19198155	No	
row_9	PIGN	PIGN	12024	-0.010565802454948425	-0.36359027	No	
row_10	PIGM	PIGM	12303	-0.011824912391602993	-0.3654714	No	
row_11	PIGS	PIGS	12371	-0.012273136526346207	-0.35600436	No	
row_12	PIGG	PIGG	12523	-0.013057537376880646	-0.35004145	No	
row_13	PIGP	PIGP	13683	-0.020032227039337158	-0.38869464	No	
row_14	PIGH	PIGH	15559	-0.035751234740018845	-0.44770673	Yes	
row_15	PIGF	PIGF	16343	-0.04541735351085663	-0.44025406	Yes	
row_16	PIGB	PIGB	16432	-0.04679457098245621	-0.3955268	Yes	
row_17	PIGQ	PIGQ	16798	-0.05222439393401146	-0.3593616	Yes	
row_18	PIGU	PIGU	17729	-0.06987589597702026	-0.33373734	Yes	
row_19	PIGO	PIGO	17831	-0.0729408860206604	-0.26215443	Yes	
row_20	PIGL	PIGL	18433	-0.09454715996980667	-0.19359855	Yes	
row_21	PIGX	PIGX	18582	-0.10257714986801147	-0.09323853	Yes	
row_22	DPM2	DPM2	18953	-0.1296462118625641	0.024175372	Yes	
