NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL1RAP	IL1RAP	371	0.17514151334762573	0.15376945	No	
row_1	TRAF6	TRAF6	3653	0.03292665630578995	0.017209409	No	
row_2	IRAK1	IRAK1	4222	0.02686491049826145	0.014460596	No	
row_3	MAP2K6	MAP2K6	4724	0.021879663690924644	0.010243094	No	
row_4	ZFP36	ZFP36	8547	0.0021953973919153214	-0.18452904	No	
row_5	TAB1	TAB1	10144	-0.003335513174533844	-0.26347485	No	
row_6	IRAK4	IRAK4	10758	-0.005603199824690819	-0.28953034	No	
row_7	MAP3K7	MAP3K7	13040	-0.015891805291175842	-0.39137807	No	
row_8	TAB3	TAB3	13386	-0.01792154274880886	-0.39146438	No	
row_9	IL1R1	IL1R1	16443	-0.04693453013896942	-0.5026032	Yes	
row_10	MAP2K3	MAP2K3	16506	-0.047879885882139206	-0.45853457	Yes	
row_11	MAPKAPK2	MAPKAPK2	16520	-0.04807475954294205	-0.4117487	Yes	
row_12	MYD88	MYD88	18196	-0.0841781422495842	-0.41496357	Yes	
row_13	MAPK14	MAPK14	18759	-0.11402866989374161	-0.33136183	Yes	
row_14	IL1A	IL1A	19223	-0.16700899600982666	-0.19036075	Yes	
row_15	IL1B	IL1B	19335	-0.2031795233488083	0.004482897	Yes	
