NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FN1	FN1	84	0.30122244358062744	0.12578715	Yes	
row_1	ITGA8	ITGA8	278	0.19798016548156738	0.20135666	Yes	
row_2	ITGA7	ITGA7	401	0.16890177130699158	0.26802617	Yes	
row_3	ITGA9	ITGA9	476	0.15655018389225006	0.33183518	Yes	
row_4	ITGAV	ITGAV	744	0.12578485906124115	0.37240306	Yes	
row_5	RAC3	RAC3	788	0.12131912261247635	0.4225918	Yes	
row_6	ITGA5	ITGA5	955	0.10783342272043228	0.460613	Yes	
row_7	ITGA10	ITGA10	1481	0.07948248833417892	0.46787667	Yes	
row_8	ITGB1	ITGB1	1724	0.06993822008371353	0.48560962	Yes	
row_9	RAC1	RAC1	1763	0.0687345340847969	0.51334137	Yes	
row_10	DOCK1	DOCK1	2149	0.05810733512043953	0.51859033	Yes	
row_11	ITGB6	ITGB6	6491	0.01052457932382822	0.29930452	No	
row_12	PTK2	PTK2	7612	0.005697267595678568	0.24401574	No	
row_13	CRK	CRK	7840	0.004814393352717161	0.23439075	No	
row_14	ITGA1	ITGA1	7850	0.004778910893946886	0.23599103	No	
row_15	ITGB5	ITGB5	9921	-0.002523306990042329	0.13034697	No	
row_16	SRC	SRC	12851	-0.014824751764535904	-0.014275311	No	
row_17	PXN	PXN	12939	-0.01537060085684061	-0.01212163	No	
row_18	ELMO1	ELMO1	13750	-0.0204227976500988	-0.045065135	No	
row_19	ITGA3	ITGA3	14237	-0.02380787394940853	-0.0598402	No	
row_20	BCAR1	BCAR1	14534	-0.02612745389342308	-0.063816436	No	
row_21	RAC2	RAC2	14754	-0.027954911813139915	-0.06303296	No	
row_22	ITGB4	ITGB4	16172	-0.043064989149570465	-0.117494114	No	
row_23	ITGA2	ITGA2	16490	-0.04756266996264458	-0.11329384	No	
row_24	ITGB7	ITGB7	17569	-0.06626590341329575	-0.1402533	No	
row_25	ITGB3	ITGB3	17677	-0.06867547333240509	-0.116104886	No	
row_26	ITGA4	ITGA4	18588	-0.10280498117208481	-0.11861818	No	
row_27	ITGB8	ITGB8	19284	-0.1854861080646515	-0.074329995	No	
row_28	ITGA2B	ITGA2B	19292	-0.1884259581565857	0.006703004	No	
