NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FN1	FN1	84	0.30122244358062744	0.121692516	Yes	
row_1	ITGA8	ITGA8	278	0.19798016548156738	0.19457155	Yes	
row_2	ITGA7	ITGA7	401	0.16890177130699158	0.25894552	Yes	
row_3	ITGA9	ITGA9	476	0.15655018389225006	0.32062665	Yes	
row_4	ITGAV	ITGAV	744	0.12578485906124115	0.3594859	Yes	
row_5	RAC3	RAC3	788	0.12131912261247635	0.40802556	Yes	
row_6	ITGA5	ITGA5	955	0.10783342272043228	0.4445817	Yes	
row_7	ITGA10	ITGA10	1481	0.07948248833417892	0.45076758	Yes	
row_8	ITGB1	ITGB1	1724	0.06993822008371353	0.46755102	Yes	
row_9	RAC1	RAC1	1763	0.0687345340847969	0.49434853	Yes	
row_10	ELMO3	ELMO3	1857	0.06575152277946472	0.51706237	Yes	
row_11	DOCK1	DOCK1	2149	0.05810733512043953	0.5263698	Yes	
row_12	ELMO2	ELMO2	4399	0.024987956508994102	0.42087236	No	
row_13	ITGB6	ITGB6	6491	0.01052457932382822	0.3174698	No	
row_14	ITGA1	ITGA1	7850	0.004778910893946886	0.24945475	No	
row_15	ITGB5	ITGB5	9921	-0.002523306990042329	0.1437874	No	
row_16	ELMO1	ELMO1	13750	-0.0204227976500988	-0.04502853	No	
row_17	ITGA3	ITGA3	14237	-0.02380787394940853	-0.060124673	No	
row_18	RAC2	RAC2	14754	-0.027954911813139915	-0.07503252	No	
row_19	ITGB4	ITGB4	16172	-0.043064989149570465	-0.1300716	No	
row_20	ITGA2	ITGA2	16490	-0.04756266996264458	-0.12651624	No	
row_21	RHOG	RHOG	16741	-0.05131981521844864	-0.117934674	No	
row_22	ITGB7	ITGB7	17569	-0.06626590341329575	-0.13284847	No	
row_23	ITGB3	ITGB3	17677	-0.06867547333240509	-0.109633125	No	
row_24	ITGA4	ITGA4	18588	-0.10280498117208481	-0.1135392	No	
row_25	ITGB8	ITGB8	19284	-0.1854861080646515	-0.07176897	No	
row_26	ITGA2B	ITGA2B	19292	-0.1884259581565857	0.0067024454	No	
