NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FN1	FN1	84	0.30122244358062744	0.1144795	Yes	
row_1	ITGA8	ITGA8	278	0.19798016548156738	0.182617	Yes	
row_2	ITGA7	ITGA7	401	0.16890177130699158	0.24294607	Yes	
row_3	VCL	VCL	457	0.15996867418289185	0.30320635	Yes	
row_4	ITGA9	ITGA9	476	0.15655018389225006	0.3640261	Yes	
row_5	ITGAV	ITGAV	744	0.12578485906124115	0.3998721	Yes	
row_6	ACTN1	ACTN1	869	0.11363060772418976	0.4382975	Yes	
row_7	ITGA5	ITGA5	955	0.10783342272043228	0.4764473	Yes	
row_8	ILK	ILK	1212	0.09106341004371643	0.49916536	Yes	
row_9	ITGA10	ITGA10	1481	0.07948248833417892	0.5166968	Yes	
row_10	ITGB1	ITGB1	1724	0.06993822008371353	0.5318043	Yes	
row_11	ACTN4	ACTN4	1749	0.06908950209617615	0.5578177	Yes	
row_12	TLN1	TLN1	2130	0.05857348442077637	0.5613271	Yes	
row_13	ITGB6	ITGB6	6491	0.01052457932382822	0.34066647	No	
row_14	ACTG1	ACTG1	7253	0.007030963897705078	0.30420077	No	
row_15	ACTB	ACTB	7569	0.005847274791449308	0.29026496	No	
row_16	PTK2	PTK2	7612	0.005697267595678568	0.2903465	No	
row_17	ITGA1	ITGA1	7850	0.004778910893946886	0.28001118	No	
row_18	ITGB5	ITGB5	9921	-0.002523306990042329	0.17427239	No	
row_19	PXN	PXN	12939	-0.01537060085684061	0.024771411	No	
row_20	ITGA3	ITGA3	14237	-0.02380787394940853	-0.032714438	No	
row_21	ITGB4	ITGB4	16172	-0.043064989149570465	-0.11544994	No	
row_22	ITGA2	ITGA2	16490	-0.04756266996264458	-0.11303513	No	
row_23	TLN2	TLN2	17104	-0.05742740258574486	-0.121991836	No	
row_24	ITGB7	ITGB7	17569	-0.06626590341329575	-0.119779594	No	
row_25	ITGB3	ITGB3	17677	-0.06867547333240509	-0.098209195	No	
row_26	ITGA4	ITGA4	18588	-0.10280498117208481	-0.104581706	No	
row_27	ITGB8	ITGB8	19284	-0.1854861080646515	-0.06725651	No	
row_28	ITGA2B	ITGA2B	19292	-0.1884259581565857	0.006703131	No	
