NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSTM1	GSTM1	30	0.3557107150554657	0.18487571	Yes	
row_1	GSTT1	GSTT1	173	0.23998668789863586	0.30332887	Yes	
row_2	GSTM5	GSTM5	187	0.23358026146888733	0.42507434	Yes	
row_3	GSTM3	GSTM3	712	0.12793634831905365	0.465112	Yes	
row_4	GSTM2	GSTM2	1029	0.10158995538949966	0.5020641	Yes	
row_5	TXNRD1	TXNRD1	1628	0.0735095739364624	0.50976294	Yes	
row_6	NQO1	NQO1	1939	0.06352473795413971	0.52707505	Yes	
row_7	GSTM4	GSTM4	2166	0.05774589255452156	0.5456886	Yes	
row_8	HMOX1	HMOX1	2391	0.052206773310899734	0.5615024	Yes	
row_9	MGST3	MGST3	3457	0.03527896851301193	0.52509177	No	
row_10	MGST1	MGST1	5118	0.01886170729994774	0.44940546	No	
row_11	NFE2L2	NFE2L2	6024	0.012994100339710712	0.40956357	No	
row_12	GSTO2	GSTO2	6339	0.011365175247192383	0.39933345	No	
row_13	GSTA5	GSTA5	11869	-0.009927138686180115	0.11952142	No	
row_14	GSTP1	GSTP1	11884	-0.009991340339183807	0.12403603	No	
row_15	KEAP1	KEAP1	12976	-0.015559700317680836	0.0759506	No	
row_16	MGST2	MGST2	13723	-0.02023899368941784	0.04810193	No	
row_17	GSTO1	GSTO1	14048	-0.02245740033686161	0.0431696	No	
row_18	GSTA3	GSTA3	17051	-0.05636309087276459	-0.08204167	No	
row_19	GSTA4	GSTA4	17278	-0.06066913902759552	-0.061896052	No	
row_20	GSTT2B	GSTT2B	17568	-0.06623681634664536	-0.04208009	No	
row_21	GSTT2	GSTT2	18079	-0.08060483634471893	-0.026126424	No	
row_22	GSTA1	GSTA1	18082	-0.08069956302642822	0.016063804	No	
row_23	GSTA2	GSTA2	18557	-0.10105360299348831	0.0445901	No	
