NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CAMK2A	CAMK2A	814	0.11889126151800156	0.14162977	Yes	
row_1	CAMK2G	CAMK2G	878	0.11328008770942688	0.3132949	Yes	
row_2	PDGFA	PDGFA	2123	0.05879448726773262	0.3399734	Yes	
row_3	PDGFRA	PDGFRA	2240	0.055828291922807693	0.42019823	Yes	
row_4	CALM1	CALM1	2953	0.04189793020486832	0.44820157	Yes	
row_5	CAMK2D	CAMK2D	3381	0.03628658875823021	0.48222682	Yes	
row_6	PLCG1	PLCG1	3453	0.03538943827152252	0.53321165	Yes	
row_7	PDGFRB	PDGFRB	3869	0.030217956751585007	0.558485	Yes	
row_8	CALM3	CALM3	5013	0.019716762006282806	0.53002954	No	
row_9	CALM2	CALM2	6212	0.012011069804430008	0.48684192	No	
row_10	CAMK1D	CAMK1D	8825	0.0011580694699659944	0.35403252	No	
row_11	CAMK1	CAMK1	9794	-0.0021397722885012627	0.30745497	No	
row_12	CAMK4	CAMK4	10740	-0.005546784494072199	0.2673233	No	
row_13	CAMK2B	CAMK2B	10847	-0.0059189083985984325	0.2710002	No	
row_14	PLCG2	PLCG2	12235	-0.011508083902299404	0.21729667	No	
row_15	PDGFB	PDGFB	14570	-0.02647826075553894	0.1379087	No	
row_16	CAMK1G	CAMK1G	17818	-0.07257843017578125	0.08265495	No	
