NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TOMM70	TOMM70	3432	0.03565458953380585	-0.11730767	No	
row_1	MAP1LC3B2	MAP1LC3B2	4131	0.027770036831498146	-0.1069039	No	
row_2	PINK1	PINK1	7109	0.007715795189142227	-0.24741839	No	
row_3	OPTN	OPTN	7659	0.0055183228105306625	-0.2664927	No	
row_4	MAP1LC3A	MAP1LC3A	7810	0.00491038104519248	-0.26602256	No	
row_5	CALCOCO2	CALCOCO2	8397	0.0027903192676603794	-0.2915586	No	
row_6	FAF2	FAF2	8541	0.0022103500086814165	-0.29523626	No	
row_7	CISD1	CISD1	8601	0.002025270601734519	-0.2948946	No	
row_8	TAX1BP1	TAX1BP1	12904	-0.01512116752564907	-0.49131802	No	
row_9	NBR1	NBR1	12922	-0.015244265086948872	-0.46673924	No	
row_10	HK1	HK1	16539	-0.04829483479261398	-0.57242143	Yes	
row_11	MAP1LC3B	MAP1LC3B	16601	-0.049066223204135895	-0.49363425	Yes	
row_12	SQSTM1	SQSTM1	17441	-0.06332291662693024	-0.43113	Yes	
row_13	FKBP8	FKBP8	18347	-0.0899830162525177	-0.32750976	Yes	
row_14	MAP1LC3C	MAP1LC3C	18753	-0.11372055858373642	-0.15848887	Yes	
row_15	CISD2	CISD2	18781	-0.11552900820970535	0.03302927	Yes	
