NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ORC4	ORC4	2814	0.04414253681898117	-0.094576344	No	
row_1	ORC5	ORC5	3311	0.03722171112895012	-0.07756188	No	
row_2	ORC2	ORC2	4221	0.02686529979109764	-0.09368962	No	
row_3	RECQL4	RECQL4	4940	0.020214814692735672	-0.107579045	No	
row_4	MCM7	MCM7	5697	0.015086987055838108	-0.12929457	No	
row_5	POLE2	POLE2	6074	0.012711296789348125	-0.13413654	No	
row_6	MCM3	MCM3	6606	0.010054330341517925	-0.15000978	No	
row_7	MTBP	MTBP	6816	0.00904657132923603	-0.15043469	No	
row_8	CDC6	CDC6	6933	0.00850205309689045	-0.14668778	No	
row_9	POLE3	POLE3	9457	-9.542301995679736E-4	-0.27567437	No	
row_10	TOPBP1	TOPBP1	11625	-0.008943469263613224	-0.37716588	No	
row_11	ORC3	ORC3	11864	-0.009907194413244724	-0.37810126	No	
row_12	GINS1	GINS1	12101	-0.010932370088994503	-0.3777606	No	
row_13	ORC6	ORC6	13032	-0.015853403136134148	-0.40757015	Yes	
row_14	POLE4	POLE4	13034	-0.015860939398407936	-0.38947463	Yes	
row_15	TICRR	TICRR	13072	-0.016047753393650055	-0.3730214	Yes	
row_16	MCM4	MCM4	13441	-0.01831229403614998	-0.3710426	Yes	
row_17	MCM6	MCM6	13903	-0.021519385278224945	-0.37018925	Yes	
row_18	POLE	POLE	14053	-0.022474264726042747	-0.35215762	Yes	
row_19	ORC1	ORC1	14234	-0.023778125643730164	-0.33423245	Yes	
row_20	MCM5	MCM5	15397	-0.03425155580043793	-0.35495323	Yes	
row_21	GINS3	GINS3	16414	-0.04654357582330704	-0.3540829	Yes	
row_22	MCM2	MCM2	17042	-0.05624916031956673	-0.32205242	Yes	
row_23	GINS4	GINS4	17494	-0.0644831582903862	-0.27152705	Yes	
row_24	GINS2	GINS2	17627	-0.067591592669487	-0.20099853	Yes	
row_25	CDT1	CDT1	18548	-0.10079695284366608	-0.13310544	Yes	
row_26	CDC45	CDC45	19168	-0.155676007270813	0.013095474	Yes	
