NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGR1	EGR1	451	0.16162197291851044	0.065537624	No	
row_1	CAV1	CAV1	510	0.1501365453004837	0.14502937	No	
row_2	PIK3CA	PIK3CA	1303	0.08630989491939545	0.15160911	No	
row_3	RAC1	RAC1	1763	0.0687345340847969	0.16570354	No	
row_4	CREB5	CREB5	2366	0.05291404947638512	0.16373304	No	
row_5	PIK3CB	PIK3CB	2615	0.04782680422067642	0.17722078	No	
row_6	MAPK3	MAPK3	2807	0.04426105320453644	0.19168861	No	
row_7	CAV2	CAV2	2849	0.04368704929947853	0.21357544	No	
row_8	ATF4	ATF4	4260	0.02651839330792427	0.15544127	No	
row_9	CREB3L2	CREB3L2	6120	0.0124724255874753	0.06643902	No	
row_10	PRNP	PRNP	7622	0.005661122500896454	-0.007845936	No	
row_11	MAPK1	MAPK1	9936	-0.0025752282235771418	-0.12569484	No	
row_12	CREB3L4	CREB3L4	10513	-0.004648401401937008	-0.152841	No	
row_13	CAV3	CAV3	11042	-0.00660204840824008	-0.17643887	No	
row_14	CREB3	CREB3	11262	-0.007468695752322674	-0.18362786	No	
row_15	CREB3L3	CREB3L3	12348	-0.012132168747484684	-0.23290779	No	
row_16	ATF2	ATF2	12576	-0.01327003724873066	-0.23732212	No	
row_17	CREB3L1	CREB3L1	12749	-0.014294479973614216	-0.23833771	No	
row_18	RAC2	RAC2	14754	-0.027954911813139915	-0.3263107	No	
row_19	CREB1	CREB1	15280	-0.0330238863825798	-0.3352382	No	
row_20	CYBB	CYBB	17099	-0.057366348803043365	-0.3974625	Yes	
row_21	FYN	FYN	17734	-0.07022026181221008	-0.39157525	Yes	
row_22	PRKCD	PRKCD	17755	-0.0707145482301712	-0.35375717	Yes	
row_23	CYBA	CYBA	17799	-0.07202135026454926	-0.31640708	Yes	
row_24	ATF6B	ATF6B	18151	-0.0825396254658699	-0.2891597	Yes	
row_25	PIK3CD	PIK3CD	18916	-0.12598179280757904	-0.25934115	Yes	
row_26	NCF1	NCF1	19078	-0.14459790289402008	-0.18820316	Yes	
row_27	NCF4	NCF4	19159	-0.1541808694601059	-0.10762391	Yes	
row_28	NCF2	NCF2	19373	-0.22048990428447723	0.002526546	Yes	
