NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CASQ2	CASQ2	93	0.29331734776496887	0.29577595	Yes	
row_1	CASQ1	CASQ1	132	0.26306772232055664	0.5633891	Yes	
row_2	ASPH	ASPH	1792	0.06778915971517563	0.54734766	Yes	
row_3	CACNB2	CACNB2	1911	0.06440338492393494	0.6072615	Yes	
row_4	CACNB3	CACNB3	2334	0.05385371670126915	0.64069635	Yes	
row_5	CACNA2D1	CACNA2D1	4187	0.027192959561944008	0.57310754	No	
row_6	CACNA2D2	CACNA2D2	5873	0.01398959569633007	0.5005963	No	
row_7	CACNG6	CACNG6	6528	0.010367905721068382	0.47751266	No	
row_8	RYR1	RYR1	6534	0.01032036542892456	0.4878305	No	
row_9	CACNG1	CACNG1	6930	0.008515845984220505	0.47619814	No	
row_10	CACNG4	CACNG4	7782	0.0050481329672038555	0.43750963	No	
row_11	CACNG2	CACNG2	8231	0.003403277834877372	0.41790664	No	
row_12	CACNB4	CACNB4	8302	0.003186079440638423	0.41756362	No	
row_13	CACNB1	CACNB1	8790	0.0012839070986956358	0.39377877	No	
row_14	CACNG3	CACNG3	9141	8.905178401619196E-5	0.37583065	No	
row_15	CACNA1S	CACNA1S	9559	-0.001265273429453373	0.35563457	No	
row_16	CACNG7	CACNG7	10561	-0.004867712035775185	0.30903003	No	
row_17	CACNA2D4	CACNA2D4	10820	-0.005818809382617474	0.30169508	No	
row_18	TRDN	TRDN	12787	-0.014515138231217861	0.21523933	No	
row_19	CACNG5	CACNG5	13719	-0.020230984315276146	0.18798576	No	
row_20	CACNA2D3	CACNA2D3	18597	-0.10334637016057968	0.042521402	No	
