NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITPR1	ITPR1	488	0.15397684276103973	0.098313995	No	
row_1	VAV3	VAV3	2313	0.054223742336034775	0.04779105	No	
row_2	PLCG1	PLCG1	3453	0.03538943827152252	0.017468171	No	
row_3	ITPR3	ITPR3	3850	0.030453233048319817	0.021478362	No	
row_4	ITPR2	ITPR2	5277	0.01765015348792076	-0.037859194	No	
row_5	CD247	CD247	10486	-0.004573614802211523	-0.3025902	No	
row_6	CD4	CD4	10767	-0.005647226702421904	-0.31249207	No	
row_7	PLCG2	PLCG2	12235	-0.011508083902299404	-0.3788675	No	
row_8	VAV2	VAV2	13008	-0.01576058380305767	-0.40601578	No	
row_9	ZAP70	ZAP70	13596	-0.019428478553891182	-0.42068893	No	
row_10	LCK	LCK	15577	-0.035980403423309326	-0.49387953	No	
row_11	LAT	LAT	16372	-0.045907244086265564	-0.49798906	No	
row_12	FYN	FYN	17734	-0.07022026181221008	-0.5118244	Yes	
row_13	CD3G	CD3G	18116	-0.0815158411860466	-0.4660976	Yes	
row_14	CD3D	CD3D	18280	-0.08753234893083572	-0.40431175	Yes	
row_15	VAV1	VAV1	18296	-0.0881277546286583	-0.33442122	Yes	
row_16	LCP2	LCP2	18672	-0.10775088518857956	-0.2673491	Yes	
row_17	CD3E	CD3E	19214	-0.16535158455371857	-0.16264588	Yes	
row_18	GRAP2	GRAP2	19365	-0.2161474972963333	0.0029375914	Yes	
