NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TERF2	TERF2	2842	0.043787043541669846	-0.07495044	No	
row_1	POT1	POT1	3004	0.04107308015227318	-0.016179329	No	
row_2	TERF1	TERF1	4052	0.028439339250326157	-0.023693612	No	
row_3	GAR1	GAR1	4085	0.02814597077667713	0.020616481	No	
row_4	DKC1	DKC1	5279	0.01763872615993023	-0.012057379	No	
row_5	ACD	ACD	7083	0.007838246412575245	-0.09216785	No	
row_6	TERT	TERT	8202	0.00346555607393384	-0.14412005	No	
row_7	RUVBL2	RUVBL2	9492	-0.001060053356923163	-0.20881186	No	
row_8	RUVBL1	RUVBL1	9940	-0.0025890374090522528	-0.22761838	No	
row_9	NHP2	NHP2	10797	-0.005752267315983772	-0.26233566	No	
row_10	NOP10	NOP10	12003	-0.01048625260591507	-0.30730703	No	
row_11	TERC	TERC	12458	-0.01270527858287096	-0.30995563	No	
row_12	TINF2	TINF2	13696	-0.02009505406022072	-0.34088594	No	
row_13	RTEL1	RTEL1	15041	-0.03075169399380684	-0.35992897	No	
row_14	TERF2IP	TERF2IP	18540	-0.10031815618276596	-0.37637472	Yes	
row_15	WRAP53	WRAP53	18945	-0.12883330881595612	-0.18682334	Yes	
row_16	CTC1	CTC1	18950	-0.12943479418754578	0.024322366	Yes	
