NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFNA8	IFNA8	3333	0.03687075525522232	-0.118516855	No	
row_1	IFNA4	IFNA4	3611	0.0333821177482605	-0.084557146	No	
row_2	TRAF6	TRAF6	3653	0.03292665630578995	-0.039091267	No	
row_3	IRAK1	IRAK1	4222	0.02686491049826145	-0.029548185	No	
row_4	IFNA5	IFNA5	5970	0.01336497999727726	-0.10028263	No	
row_5	IFNA17	IFNA17	7064	0.007907305844128132	-0.14519385	No	
row_6	IFNA1	IFNA1	8630	0.001860189251601696	-0.2231718	No	
row_7	IFNA7	IFNA7	9346	-4.8402216634713113E-4	-0.25932616	No	
row_8	IFNA6	IFNA6	10051	-0.0029707271605730057	-0.29132023	No	
row_9	IRAK4	IRAK4	10758	-0.005603199824690819	-0.31961346	No	
row_10	IFNA14	IFNA14	11182	-0.007159797009080648	-0.3310705	No	
row_11	IFNB1	IFNB1	11702	-0.009235150180757046	-0.34447688	No	
row_12	IFNA21	IFNA21	12665	-0.013796922750771046	-0.37412533	No	
row_13	TLR9	TLR9	12985	-0.01560899242758751	-0.36801273	No	
row_14	IFNA2	IFNA2	13344	-0.017695479094982147	-0.36089534	No	
row_15	IFNA13	IFNA13	13548	-0.019074533134698868	-0.3437959	No	
row_16	IFNA16	IFNA16	14005	-0.022157393395900726	-0.33528233	No	
row_17	TLR7	TLR7	17521	-0.06520015746355057	-0.422244	Yes	
row_18	MYD88	MYD88	18196	-0.0841781422495842	-0.33534667	Yes	
row_19	TLR8	TLR8	18283	-0.08760792762041092	-0.21318556	Yes	
row_20	IFNA10	IFNA10	18399	-0.09295428544282913	-0.08479371	Yes	
row_21	IRF5	IRF5	18445	-0.09513556212186813	0.050358158	Yes	
