NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM7	MCM7	5697	0.015086987055838108	-0.27037162	No	
row_1	MCM3	MCM3	6606	0.010054330341517925	-0.3017173	No	
row_2	GINS1	GINS1	12101	-0.010932370088994503	-0.568009	No	
row_3	MCM4	MCM4	13441	-0.01831229403614998	-0.6088814	Yes	
row_4	MCM6	MCM6	13903	-0.021519385278224945	-0.59958994	Yes	
row_5	VCP	VCP	14876	-0.029011165723204613	-0.6051237	Yes	
row_6	MCM5	MCM5	15397	-0.03425155580043793	-0.5793211	Yes	
row_7	UBB	UBB	15472	-0.03499079868197441	-0.52940315	Yes	
row_8	TRAIP	TRAIP	16021	-0.041015319526195526	-0.49465698	Yes	
row_9	NPLOC4	NPLOC4	16346	-0.0455060712993145	-0.44147336	Yes	
row_10	GINS3	GINS3	16414	-0.04654357582330704	-0.3734546	Yes	
row_11	MCM2	MCM2	17042	-0.05624916031956673	-0.3193863	Yes	
row_12	GINS4	GINS4	17494	-0.0644831582903862	-0.24360572	Yes	
row_13	GINS2	GINS2	17627	-0.067591592669487	-0.14661539	Yes	
row_14	CDC45	CDC45	19168	-0.155676007270813	0.013087363	Yes	
