NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNA1H	CACNA1H	86	0.2998230457305908	0.3300131	Yes	
row_1	CACNA1C	CACNA1C	724	0.12703557312488556	0.43888506	Yes	
row_2	CYCS	CYCS	1090	0.09810923039913177	0.52951026	Yes	
row_3	SLC25A4	SLC25A4	1254	0.08911214768886566	0.62051123	Yes	
row_4	CASP3	CASP3	2098	0.05941139534115791	0.64333194	Yes	
row_5	SLC25A5	SLC25A5	3040	0.0403868705034256	0.63987994	No	
row_6	VDAC1	VDAC1	4715	0.021986357867717743	0.578121	No	
row_7	SLC25A31	SLC25A31	5120	0.018840713426470757	0.5783137	No	
row_8	VDAC3	VDAC3	5821	0.014359121210873127	0.55825037	No	
row_9	MCU	MCU	8200	0.0034797315020114183	0.43956095	No	
row_10	CACNA1A	CACNA1A	9070	3.1959451735019684E-4	0.39512596	No	
row_11	APAF1	APAF1	9337	-4.7369819367304444E-4	0.3819437	No	
row_12	CACNA1S	CACNA1S	9559	-0.001265273429453373	0.37196395	No	
row_13	VDAC2	VDAC2	10136	-0.0033090212382376194	0.3459659	No	
row_14	CACNA1B	CACNA1B	10346	-0.004130168817937374	0.33980036	No	
row_15	CASP9	CASP9	11839	-0.009824063628911972	0.27385563	No	
row_16	CACNA1I	CACNA1I	12121	-0.011026281863451004	0.2716714	No	
row_17	CACNA1F	CACNA1F	12306	-0.011836525984108448	0.27539074	No	
row_18	CACNA1D	CACNA1D	12712	-0.01407440472394228	0.2702152	No	
row_19	CASP7	CASP7	13364	-0.017798731103539467	0.2565143	No	
row_20	CACNA1E	CACNA1E	13818	-0.020851319655776024	0.2564242	No	
row_21	CACNA1G	CACNA1G	14878	-0.029023773968219757	0.23421474	No	
