NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ROR1	ROR1	34	0.34811243414878845	0.26265925	Yes	
row_1	FZD5	FZD5	528	0.14749737083911896	0.3492887	Yes	
row_2	FZD6	FZD6	568	0.14196448028087616	0.4551092	Yes	
row_3	FZD9	FZD9	620	0.1367408037185669	0.55634373	Yes	
row_4	FZD8	FZD8	949	0.10817628353834152	0.6216087	Yes	
row_5	FZD4	FZD4	1563	0.07596936821937561	0.64772516	Yes	
row_6	DVL3	DVL3	1735	0.06966252624988556	0.6918266	Yes	
row_7	FZD3	FZD3	1899	0.06468483805656433	0.7325593	Yes	
row_8	FZD1	FZD1	2546	0.049022819846868515	0.736508	Yes	
row_9	DVL2	DVL2	3072	0.04001845419406891	0.7398522	Yes	
row_10	FZD2	FZD2	4055	0.02841472066938877	0.7108345	No	
row_11	FZD7	FZD7	6910	0.008623960427939892	0.57032454	No	
row_12	DVL1	DVL1	8022	0.0041528502479195595	0.5162315	No	
row_13	ROR2	ROR2	8288	0.0032230729702860117	0.50502473	No	
row_14	WNT5A	WNT5A	15264	-0.032864976674318314	0.17058115	No	
row_15	FZD10	FZD10	17105	-0.05742812901735306	0.11938992	No	
