NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHRM5	CHRM5	79	0.30613118410110474	0.2637641	Yes	
row_1	ITPR1	ITPR1	488	0.15397684276103973	0.3774515	Yes	
row_2	CYCS	CYCS	1090	0.09810923039913177	0.43231314	Yes	
row_3	SLC25A4	SLC25A4	1254	0.08911214768886566	0.501877	Yes	
row_4	GNAQ	GNAQ	1490	0.07923121005296707	0.55908525	Yes	
row_5	PLCB4	PLCB4	2028	0.060950666666030884	0.58473516	Yes	
row_6	SLC25A5	SLC25A5	3040	0.0403868705034256	0.5679645	No	
row_7	ITPR3	ITPR3	3850	0.030453233048319817	0.55291355	No	
row_8	VDAC1	VDAC1	4715	0.021986357867717743	0.5276204	No	
row_9	SLC25A31	SLC25A31	5120	0.018840713426470757	0.52328265	No	
row_10	ITPR2	ITPR2	5277	0.01765015348792076	0.5306849	No	
row_11	VDAC3	VDAC3	5821	0.014359121210873127	0.51526237	No	
row_12	PLCB1	PLCB1	6393	0.011080888099968433	0.49552864	No	
row_13	MCU	MCU	8200	0.0034797315020114183	0.4054947	No	
row_14	CHRM3	CHRM3	9635	-0.00154559884686023	0.33294085	No	
row_15	VDAC2	VDAC2	10136	-0.0033090212382376194	0.3100667	No	
row_16	CHRM1	CHRM1	10499	-0.004604068119078875	0.2954379	No	
row_17	PLCB3	PLCB3	12090	-0.010901431553065777	0.22302954	No	
row_18	APP	APP	13366	-0.017803147435188293	0.1728941	No	
row_19	PLCB2	PLCB2	19183	-0.1590699553489685	0.0123176975	No	
