NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RYR3	RYR3	10	0.4233059287071228	0.49605402	Yes	
row_1	CYCS	CYCS	1090	0.09810923039913177	0.5555478	Yes	
row_2	SLC25A4	SLC25A4	1254	0.08911214768886566	0.65168434	Yes	
row_3	CASP3	CASP3	2098	0.05941139534115791	0.67794263	Yes	
row_4	SLC25A5	SLC25A5	3040	0.0403868705034256	0.6768343	No	
row_5	VDAC1	VDAC1	4715	0.021986357867717743	0.6163728	No	
row_6	SLC25A31	SLC25A31	5120	0.018840713426470757	0.6176582	No	
row_7	VDAC3	VDAC3	5821	0.014359121210873127	0.5984349	No	
row_8	MCU	MCU	8200	0.0034797315020114183	0.47999012	No	
row_9	APAF1	APAF1	9337	-4.7369819367304444E-4	0.42201322	No	
row_10	VDAC2	VDAC2	10136	-0.0033090212382376194	0.3847779	No	
row_11	CASP9	CASP9	11839	-0.009824063628911972	0.30860645	No	
row_12	CASP7	CASP7	13364	-0.017798731103539467	0.25096136	No	
row_13	PSEN1	PSEN1	13477	-0.018596723675727844	0.2670059	No	
row_14	PSEN2	PSEN2	15323	-0.033467210829257965	0.21120152	No	
