NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_WNT5A_ROR_SIGNALING_PATHWAY	Details ...	16	0.7398522	1.7429879	0.005424955	0.33017173	0.337	3072	tags=63%, list=16%, signal=74%	
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY	KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY	Details ...	18	0.7023144	1.7313534	0.0035971224	0.19408154	0.382	2098	tags=28%, list=11%, signal=31%	
KEGG_MEDICUS_REFERENCE_CARDIAC_TYPE_VGCC_RYR_SIGNALING	KEGG_MEDICUS_REFERENCE_CARDIAC_TYPE_VGCC_RYR_SIGNALING	Details ...	21	0.6649898	1.6554955	0.012455516	0.32959428	0.714	2334	tags=29%, list=12%, signal=32%	
KEGG_MEDICUS_REFERENCE_VGCC_CA2_APOPTOTIC_PATHWAY	KEGG_MEDICUS_REFERENCE_VGCC_CA2_APOPTOTIC_PATHWAY	Details ...	22	0.64333194	1.6048262	0.016759777	0.40853307	0.866	2098	tags=23%, list=11%, signal=25%	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_PSEN_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_PSEN_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY	Details ...	15	0.67794263	1.562876	0.027726432	0.4856308	0.958	2098	tags=27%, list=11%, signal=30%	
KEGG_MEDICUS_REFERENCE_SKELETAL_TYPE_VGCC_RYR_SIGNALING	KEGG_MEDICUS_REFERENCE_SKELETAL_TYPE_VGCC_RYR_SIGNALING	Details ...	21	0.64069635	1.5568564	0.020992367	0.4240226	0.965	2334	tags=24%, list=12%, signal=27%	
KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY	Details ...	29	0.5613271	1.539252	0.02793296	0.42294917	0.976	2130	tags=45%, list=11%, signal=50%	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_MACHR_CA2_APOPTOTIC_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_MACHR_CA2_APOPTOTIC_PATHWAY	Details ...	20	0.58473516	1.4859027	0.049056605	0.57267314	0.999	2028	tags=30%, list=10%, signal=33%	
KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY	KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY	Details ...	23	0.56994975	1.4445219	0.065099455	0.6800165	0.999	1029	tags=26%, list=5%, signal=28%	
KEGG_MEDICUS_REFERENCE_MACHR_CA2_APOPTOTIC_PATHWAY	KEGG_MEDICUS_REFERENCE_MACHR_CA2_APOPTOTIC_PATHWAY	Details ...	19	0.5956422	1.444026	0.05513308	0.6139573	0.999	2028	tags=32%, list=10%, signal=35%	
KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY	Details ...	81	0.445742	1.4413697	0.018394649	0.5692029	0.999	2240	tags=26%, list=12%, signal=29%	
KEGG_MEDICUS_REFERENCE_KEAP1_NRF2_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_KEAP1_NRF2_SIGNALING_PATHWAY	Details ...	24	0.5615024	1.4359803	0.054446463	0.5392845	0.999	2391	tags=38%, list=12%, signal=43%	
KEGG_MEDICUS_REFERENCE_GPCR_PLCB_ITPR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GPCR_PLCB_ITPR_SIGNALING_PATHWAY	Details ...	49	0.47490263	1.4077163	0.044067796	0.5993895	1.0	2743	tags=27%, list=14%, signal=31%	
KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY	Details ...	87	0.42652065	1.4040873	0.039215688	0.56931984	1.0	2240	tags=24%, list=12%, signal=27%	
KEGG_MEDICUS_REFERENCE_ITGA_B_RHOG_RAC_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ITGA_B_RHOG_RAC_SIGNALING_PATHWAY	Details ...	27	0.5263698	1.3976609	0.06964286	0.55385077	1.0	2149	tags=44%, list=11%, signal=50%	
KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS	KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS	Details ...	19	0.5735768	1.3909554	0.08255159	0.5423437	1.0	1029	tags=26%, list=5%, signal=28%	
KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_RAC_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ITGA_B_FAK_RAC_SIGNALING_PATHWAY	Details ...	29	0.51859033	1.3848817	0.07622504	0.53150475	1.0	2149	tags=38%, list=11%, signal=43%	
KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY	Details ...	90	0.4190619	1.374777	0.030874785	0.53334403	1.0	3341	tags=29%, list=17%, signal=35%	
KEGG_MEDICUS_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL	KEGG_MEDICUS_REFERENCE_CA2_ENTRY_VOLTAGE_GATED_CA2_CHANNEL	Details ...	25	0.5249528	1.3622049	0.08957952	0.54510677	1.0	2334	tags=16%, list=12%, signal=18%	
KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PLCG_CAMK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PLCG_CAMK_SIGNALING_PATHWAY	Details ...	17	0.558485	1.3543563	0.11849192	0.5440687	1.0	3869	tags=47%, list=20%, signal=59%	
