NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MEDICUS_REFERENCE_PINK_PARKIN_MEDIATED_AUTOPHAGOSOME_FORMATION	KEGG_MEDICUS_REFERENCE_PINK_PARKIN_MEDIATED_AUTOPHAGOSOME_FORMATION	Details ...	16	-0.6530638	-1.581377	0.014644352	1.0	0.875	2885	tags=38%, list=15%, signal=44%	
KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY	KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY	Details ...	15	-0.6496724	-1.5750062	0.0234375	1.0	0.889	4548	tags=67%, list=23%, signal=87%	
KEGG_MEDICUS_REFERENCE_CCR_CXCR_GNB_G_PI3K_RAC_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CCR_CXCR_GNB_G_PI3K_RAC_SIGNALING_PATHWAY	Details ...	31	-0.51169497	-1.4457852	0.03524229	1.0	1.0	4276	tags=48%, list=22%, signal=62%	
KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY	Details ...	19	-0.56812924	-1.4409586	0.06526316	1.0	1.0	1690	tags=37%, list=9%, signal=40%	
KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_ERK_SIGNALING_PATHWAY	Details ...	27	-0.50001293	-1.3984911	0.06363636	1.0	1.0	2530	tags=30%, list=13%, signal=34%	
KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_PI3K_AKT_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_PI3K_AKT_SIGNALING_PATHWAY	Details ...	26	-0.51230955	-1.3776017	0.06637168	1.0	1.0	3457	tags=42%, list=18%, signal=51%	
KEGG_MEDICUS_REFERENCE_IL1_IL1R_P38_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_IL1_IL1R_P38_SIGNALING_PATHWAY	Details ...	16	-0.5489333	-1.3716941	0.101626016	1.0	1.0	2981	tags=44%, list=15%, signal=52%	
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION	KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION	Details ...	18	-0.53253585	-1.3674088	0.10514542	1.0	1.0	5983	tags=67%, list=31%, signal=96%	
KEGG_MEDICUS_REFERENCE_TLR7_8_9_IRF5_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TLR7_8_9_IRF5_SIGNALING_PATHWAY	Details ...	22	-0.5164586	-1.3424517	0.09368192	1.0	1.0	1903	tags=23%, list=10%, signal=25%	
KEGG_MEDICUS_REFERENCE_TELOMERE_ELONGATION	KEGG_MEDICUS_REFERENCE_TELOMERE_ELONGATION	Details ...	17	-0.5401825	-1.3094589	0.11597374	1.0	1.0	884	tags=18%, list=5%, signal=18%	
KEGG_MEDICUS_REFERENCE_GPI_ANCHOR_BIOSYNTHESIS	KEGG_MEDICUS_REFERENCE_GPI_ANCHOR_BIOSYNTHESIS	Details ...	23	-0.48806754	-1.2814822	0.12820514	1.0	1.0	3081	tags=35%, list=16%, signal=41%	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_ANTEROGRADE_AXONAL_TRANSPORT	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_ANTEROGRADE_AXONAL_TRANSPORT	Details ...	24	-0.4670838	-1.2768395	0.14253898	1.0	1.0	2026	tags=25%, list=10%, signal=28%	
KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT	KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT	Details ...	33	-0.420552	-1.229008	0.16997792	1.0	1.0	2026	tags=21%, list=10%, signal=24%	
KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION	KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION	Details ...	27	-0.42570862	-1.1953439	0.20222223	1.0	1.0	6392	tags=52%, list=33%, signal=77%	
KEGG_MEDICUS_REFERENCE_PRNP_PI3K_NOX2_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_PRNP_PI3K_NOX2_SIGNALING_PATHWAY	Details ...	29	-0.430153	-1.1923041	0.18683651	1.0	1.0	1690	tags=28%, list=9%, signal=30%	
KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_JNK_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_KSHV_VGPCR_TO_GNB_G_PI3K_JNK_SIGNALING_PATHWAY	Details ...	29	-0.41405863	-1.1712265	0.21004567	1.0	1.0	4276	tags=48%, list=22%, signal=62%	
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SIFA_TO_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT	KEGG_MEDICUS_PATHOGEN_SALMONELLA_SIFA_TO_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT	Details ...	24	-0.43277013	-1.1697352	0.25442478	1.0	1.0	845	tags=17%, list=4%, signal=17%	
KEGG_MEDICUS_REFERENCE_ANTEROGRADE_AXONAL_TRANSPORT	KEGG_MEDICUS_REFERENCE_ANTEROGRADE_AXONAL_TRANSPORT	Details ...	23	-0.43773425	-1.166258	0.25420168	1.0	1.0	845	tags=17%, list=4%, signal=18%	
KEGG_MEDICUS_REFERENCE_AUTOPHAGOSOME_AND_LYSOSOME_FUSION_TETHERING_FACTOR	KEGG_MEDICUS_REFERENCE_AUTOPHAGOSOME_AND_LYSOSOME_FUSION_TETHERING_FACTOR	Details ...	16	-0.47836384	-1.1641062	0.27565393	1.0	1.0	3496	tags=44%, list=18%, signal=53%	
KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV	KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV	Details ...	17	-0.46859252	-1.1640943	0.2769556	1.0	1.0	5847	tags=41%, list=30%, signal=59%	
KEGG_MEDICUS_REFERENCE_TNF_P38_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TNF_P38_SIGNALING_PATHWAY		23	-0.42192915	-1.1502848	0.25	1.0	1.0	4804	tags=39%, list=25%, signal=52%	
KEGG_MEDICUS_REFERENCE_LESION_BYPASS_BY_TLS_AND_DSB_FORMATION	KEGG_MEDICUS_REFERENCE_LESION_BYPASS_BY_TLS_AND_DSB_FORMATION		15	-0.47184372	-1.139718	0.2908705	1.0	1.0	4038	tags=40%, list=21%, signal=50%	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ANTEROGRADE_AXONAL_TRANSPORT	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ANTEROGRADE_AXONAL_TRANSPORT		24	-0.42389956	-1.1298833	0.2835821	1.0	1.0	845	tags=17%, list=4%, signal=17%	
KEGG_MEDICUS_REFERENCE_IL1_IL1R_JNK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_IL1_IL1R_JNK_SIGNALING_PATHWAY		18	-0.43447965	-1.1280696	0.28747433	1.0	1.0	1341	tags=28%, list=7%, signal=30%	
