gene,tar
CPT1A,SPI1
CYGB,SPI1
MRPL3,SPI1
CPT1A,hsa-miR-27a-3p
CPT1A,hsa-miR-27b-3p
CPT1A,hsa-miR-124-3p
CPT1A,hsa-miR-185-5p
CPT1A,hsa-miR-513a-5p
CPT1A,hsa-miR-506-3p
CPT1A,hsa-miR-874-3p
CPT1A,hsa-miR-1252-5p
CPT1A,hsa-miR-1914-3p
CPT1A,hsa-miR-3184-5p
CPT1A,hsa-miR-4306
CPT1A,hsa-miR-3611
CPT1A,hsa-miR-4644
CPT1A,hsa-miR-5194
MRPL3,hsa-miR-24-3p
MRPL3,hsa-miR-27a-3p
MRPL3,hsa-miR-27b-3p
MRPL3,hsa-miR-134-5p
MRPL3,hsa-miR-149-5p
MRPL3,hsa-miR-185-5p
MRPL3,hsa-miR-186-5p
MRPL3,hsa-miR-342-3p
MRPL3,hsa-miR-496
MRPL3,hsa-miR-513a-5p
MRPL3,hsa-miR-758-3p
MRPL3,hsa-miR-1197
MRPL3,hsa-miR-4428
