"","probes","moduleColor"
"2","GAPDH","black"
"6","IPO13","black"
"24","NOC2LP2","black"
"42","ZFPM1","black"
"56","SKIV2L2","black"
"57","NUMBL","black"
"59","HDAC8","black"
"73","MED14","black"
"85","CAT","black"
"101","MSH5","black"
"118","EVC","black"
"134","CCDC167","black"
"149","HMGN1","black"
"185","IPO7","black"
"254","UBOX5","black"
"257","EZH2","black"
"281","HSD3B7","black"
"291","PER1","black"
"301","AAMP","black"
"308","ZWINT","black"
"310","PITPNM1","black"
"325","DUS1L","black"
"337","SPINK9","black"
"373","TIMM9","black"
"375","UAP1L1","black"
"405","ATRIP","black"
"407","USP2","black"
"416","ZER1","black"
"438","SIRT6","black"
"441","ADCY9","black"
"443","PTPN23","black"
"463","TXN2","black"
"472","TMEM120A","black"
"485","RASA3","black"
"497","ZNF197","black"
"513","FAM134A","black"
"518","BROX","black"
"522","SCAMP2","black"
"523","KIF7","black"
"547","ZNF502","black"
"563","C2orf66","black"
"568","C15orf61","black"
"573","RNF181","black"
"607","CTIF","black"
"631","OR2M7","black"
"648","ANP32C","black"
"668","CDK5RAP2","black"
"685","ZBTB7A","black"
"692","MAPKAPK2","black"
"699","SLC41A1","black"
"719","IDO1","black"
"761","ARHGEF11","black"
"790","RPS6","black"
"800","VPS13D","black"
"804","LIN37","black"
"815","ABLIM3","black"
"816","PRICKLE3","black"
"861","CCDC85B","black"
"923","CNNM1","black"
"929","STMN1","black"
"930","FIBP","black"
"959","MAP2K2","black"
"992","NACC1","black"
"993","FAM72D","black"
"1000","LSS","black"
"1012","FIS1","black"
"1022","CHD4","black"
"1044","IQSEC2","black"
"1049","PTPRN","black"
"1063","ATP9B","black"
"1080","KRTCAP2","black"
"1091","SP140L","black"
"1092","SPTBN4","black"
"1103","GNB2","black"
"1126","ZCRB1","black"
"1137","ANKRD16","black"
"1159","BOLA2","black"
"1179","USP39","black"
"1202","EXOSC5","black"
"1213","STK19","black"
"1250","RSPH9","black"
"1267","SFMBT2","black"
"1327","CAMK2N2","black"
"1332","MUC12","black"
"1336","SYN1","black"
"1394","WBP11","black"
"1415","SHMT2","black"
"1435","RFNG","black"
"1482","TFDP1","black"
"1523","ISY1","black"
"1591","USPL1","black"
"1592","PKN1","black"
"1644","SREBF1","black"
"1649","SON","black"
"1653","TTLL12","black"
"1662","ZNF174","black"
"1663","ZNF337","black"
"1668","MCM7","black"
"1670","MRPL22","black"
"1676","TPGS1","black"
"1694","LIN7B","black"
"1714","S100PBP","black"
"1744","SMYD5","black"
"1770","RAB1B","black"
"1827","USP11","black"
"1829","DYRK1A","black"
"1862","GRHPR","black"
"1902","CD36","black"
"1919","OGFOD3","black"
"1991","ANGEL1","black"
"2052","TRIM56","black"
"2086","SNORD30","black"
"2093","VPS52","black"
"2157","FBXO9","black"
"2165","DFFA","black"
"2177","PCBP4","black"
"2180","RANBP10","black"
"2181","PLPPR2","black"
"2196","HYAL3","black"
"2215","TPP2","black"
"2236","RITA1","black"
"2248","AMD1","black"
"2306","PIP5K1C","black"
"2348","ACOX1","black"
"2390","ABCF2","black"
"2393","SNORD16","black"
"2399","ZNF16","black"
"2402","YWHAZ","black"
"2432","NME3","black"
"2443","PAF1","black"
"2453","KMT5B","black"
"2458","GLRB","black"
"2459","ACP1","black"
"2462","PKD1","black"
"2473","GTF2IRD1","black"
"2474","PSENEN","black"
"2476","WAC","black"
"2481","LRP1","black"
"2544","EXOSC6","black"
"2547","KLF3","black"
"2572","PRAMEF7","black"
"2576","RBM42","black"
"2594","ATOX1","black"
"2647","CYB5D1","black"
"2649","TSR2","black"
"2664","GSG1L","black"
"2716","POTEA","black"
"2731","MED30","black"
"2733","PCMT1","black"
"2755","MLF2","black"
"2763","TRMT2A","black"
"2806","CUL7","black"
"2809","FBXO3","black"
"2828","TFIP11","black"
"2853","C1orf159","black"
"2878","AP2A1","black"
"2880","ZNF32","black"
"2885","NRXN1","black"
"2889","CPSF2","black"
"2916","GNG12","black"
"2957","HSP90AB1","black"
"2962","PRR34","black"
"2970","PPOX","black"
"2978","TRMT5","black"
"2991","POLR3F","black"
"3095","SF3B1","black"
"3101","FAM124A","black"
"3132","DDX17","black"
"3143","DGKZ","black"
"3146","NDUFA7","black"
"3148","NAGPA","black"
"3170","ZFP36L1","black"
"3282","ATP5G1","black"
"3286","CCNC","black"
"3338","ADCY3","black"
"3340","YEATS2","black"
"3343","AP3M2","black"
"3361","IFT46","black"
"3364","YPEL2","black"
"3368","MITD1","black"
"3375","PTCD2","black"
"3402","REXO4","black"
"3430","COMP","black"
"3440","TMPO","black"
"3458","UBE2L3","black"
"3472","NR1H2","black"
"3475","C19orf24","black"
"3493","RBMX2","black"
"3503","PEX16","black"
"3524","ACSL5","black"
"3542","RRM2","black"
"3544","SLC37A4","black"
"3546","USP1","black"
"3550","ENDOV","black"
"3558","BCYRN1","black"
"3564","POMT2","black"
"3568","UBL5","black"
"3596","SCAF11","black"
"3599","ZNF581","black"
"3649","AGPAT1","black"
"3691","NAF1","black"
"3713","SLCO1A2","black"
"3719","POP7","black"
"3725","AHDC1","black"
"3777","EEF1G","black"
"3809","B4GALT2","black"
"3822","LEMD2","black"
"3884","FOXL2","black"
"3910","GGA1","black"
"3919","COA6","black"
"3928","HIF1AN","black"
"3932","PAPD4","black"
"3985","MIER1","black"
"4001","CLOCK","black"
"4034","IDH3G","black"
